,编号,测试人员,维修人员,日期,系统,BUG标签,问题描述,补充信息,优先级,修复状态,备注,版本号,解决情况,,,,
TRUE,,丹丽,,4月26日,chrome,逻辑错误,"终端类型：PC
浏览器：chrome
问题操作描述：
运营管理后台-版本发布管理，没有默认显示“android”平台，点击切换平台，升级发布列表没有刷新",,最重要,验证通过,,,"测试时间：2020.04.29 09：13
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,4月26日,chrome,逻辑错误,"终端类型：PC
浏览器：chrome
问题操作描述：
运营管理后台-版本发布管理，各个检索项不支持模糊匹配
期望：支持模糊匹配",,最重要,验证通过,创建人搜索结果不对,,"测试时间：2020.05.13 17：18
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,4月26日,chrome,逻辑错误,"终端类型：PC
浏览器：chrome
问题操作描述：
运营管理后台-版本发布管理-配置升级，地域和号码段的交互和UI没有按需求开发
期望：按需求定义开发",,最重要,验证通过,,,"测试时间：2020.04.30 15:35
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,4月26日,chrome,逻辑错误,"终端类型：PC
浏览器：chrome
问题操作描述：
运营管理后台-版本发布管理-配置升级，自定义人群上传不支持的文件格式，会显示上传内容预览
期望：不支持的文件内容无法上传，不需显示文件名预览",,最重要,验证通过,到底是支持哪几种格式,,"测试时间：2020.04.30 15:43
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,4月26日,chrome,逻辑错误,"终端类型：PC
浏览器：chrome
问题操作描述：
运营管理后台-版本发布管理-配置升级，点击发布无响应",,最重要,验证通过,文件上传接口报413错误,,"测试时间：2020.05.13 17：20
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,4月26日,chrome,逻辑错误,"终端类型：PC
浏览器：chrome
问题操作描述：
运营管理后台-渠道信息管理，列表中无法显示渠道负责人信息",,最重要,验证通过,,,"测试时间：2020.04.29 09：15
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,4月26日,chrome,功能缺失,"终端类型：PC
浏览器：chrome
问题操作描述：
运营管理后台-渠道信息管理，编辑窗口缺失备注输入框",,最重要,验证通过,,,"测试时间：2020.04.30 16:01
测试验证已修复，待产品确认",,,,
TRUE,,欧龙,,4月26日,360浏览器,逻辑错误,"模块：认证管理
【图标状态】搜索不准确，选择默认图标，仍显示出原生图标；选择原生图标搜索，仍有默认图标；",,最重要,验证通过,,,"测试时间：2020.04.29 09：25
测试验证通过，待产品确认",,,,
TRUE,,欧龙,,4月26日,360浏览器,功能缺失,"模块：认证管理
【时间索引】应为选择某一时间段，查询某一时间段修改的记录；",,最重要,验证通过,,,"测试时间：2020.04.29 09：28
测试验证通过，待产品确认",,,,
TRUE,,少东,,4月26日,chrome,界面优化,后台的列表每页显示可选择100条、200条、300条、400条，数字太大，显示后浏览效果不佳，应改为10、20、30、50、100条/页,,最重要,验证通过,,,"测试时间：2020.04.30 16:04
测试验证通过，待产品确认",,,,
TRUE,,欧龙,,4月26日,360浏览器,逻辑错误,"模块：认证管理
【活动状态】搜索不准确；选择下架搜索，仍有上架；",,最重要,验证通过,,,"测试时间：2020.04.29 09：30
测试验证通过，待产品确认",,,,
TRUE,,欧龙,,4月26日,360浏览器,功能缺失,"模块：认证管理
【修改人】清空按钮按了没用；且点击其他修改人没办法替换l",,最重要,验证通过,,,"测试时间：2020.04.29 09：31
测试验证通过，待产品确认",,,,
TRUE,,欧龙,,4月26日,360浏览器,逻辑错误,"模块：认证管理
【底部】未显示全部记录条，无法点击下一页；",,最重要,验证通过,,,"测试时间：2020.04.29 09：33
测试验证通过，待产品确认",,,,
TRUE,,欧龙,,4月26日,360浏览器,逻辑错误,"模块：认证管理
【修改人】显示为空，导入时，对应哪个账号名应该显示对应账户名；",,最重要,验证通过,,,"测试时间：2020.04.29 09：35
测试验证通过，待产品确认",,,,
TRUE,,欧龙,,4月26日,360浏览器,功能缺失,"模块：认证管理
【编辑】
1.修改人：不可选，默认为最新更新的账号名；
2.修改时间：不可选，默认为最新修改更新的时间；
3.图片：当前最新显示的logo图；",,最重要,验证通过,,,"测试时间：2020.04.30 19:36
测试验证通过，待产品确认",,,,
TRUE,,欧龙,,4月26日,360浏览器,界面优化,"模块：认证管理
【认证管理标题】页面下拉后，仍显示；应该隐藏；",,最重要,验证通过,,,"测试时间：2020.04.29 09：40
测试验证通过，待产品确认",,,,
TRUE,,欧龙,,4月26日,360浏览器,功能缺失,"模块：认证管理
上传成功后，APP前端并没有显示效果；测试环境和生成环境打通；",测试域名不行，图片上传无法测试，需现网上线,最重要,验证通过,要上线网才能打通数据，测试环境无法打通,,,,,,
TRUE,,欧龙,,4月26日,360浏览器,逻辑错误,"模块：认证管理
名称需统一为发布状态",,最重要,验证通过,,,"测试时间：2020.04.30 16:04
测试验证通过，待产品确认",,,,
