,编号,测试人员,维修人员,日期,系统,BUG标签,问题描述,补充信息,优先级,待修复,备注,版本号,解决情况,,,,,
FALSE,,欧龙,,2020年6月30日,Android,功能缺失,"未标记的用户：显示未标记；
添加运营商类型；",,最重要,验证通过,,Android 2.2.2,"测试时间：2020.07.07 14:00
验证测试通过，待产品确认",,,,,
,,欧龙,,2020年6月30日,Android,界面优化,"1.顶部用沉浸式；目前通信所有页面的顶部都会被系统通知挡住字；
2.防护记录模块里的设计稿样式不一致；太粗糙；例如：tab切换模块；",,最重要,验证通过,目前标题栏部分字体遮挡 仅出现在小米手机  别的机型暂无遮挡现象 ，属于适配问题,,"测试时间：2020.07.07 12:00
验证测试通过，待产品确认",,,,,
,,欧龙,,2020年6月30日,Android,功能缺失,"1.授权问题：点击主立即授权按钮，应该直接调起所需的所有授权弹窗（短信+悬浮窗授权）；点击主立即授权按钮完成授权后，下方来电拦截、来电识别、骚扰短信均自动开启；
功能开启的条件是：点击立即授权后，只要对应权限有即可开启对应功能；",,最重要,验证通过,,,,,,,,
,,欧龙,,2020年6月30日,Android,界面优化,所有的底部弹框都没有横向满屏；,,最重要,验证通过,设计图本身就有间隔,,"测试时间：2020.07.07 12:00
验证测试通过，待产品确认",,,,,
,,欧龙,,2020年6月30日,Android,界面优化,黑白名单的样式和设计稿不对应,,最重要,验证通过,,,"测试时间：2020.07.07 12:00
验证测试通过，待产品确认",,,,,
,,欧龙,,2020年6月30日,Android,功能缺失,未成功调起获取短信授权弹窗，为获取权限，但是仍显示已开启功能；,,最重要,验证通过,,,是否是兼容性问题，华为Nova 5Pro禁止短信权限，骚扰短信未开启,,,,,
,,欧龙,,2020年7月1日,Android,功能缺失,未识别近1周号码；,,最重要,验证通过,需求缺失,,"测试时间：2020.07.07 12:00
验证测试通过，待产品确认",,,,,
,,欧龙,,2020年7月1日,Android,功能缺失,后台标题应该对应支付套餐的名称；,,最重要,验证通过,支付时，应使用套餐列表接口返回的prodName值，而不是title值,,"测试时间：2020.07.08 11:00
验证测试通过，待产品确认",,,,,
,,欧龙,,2020年7月1日,Android,功能缺失,"拒绝授权后，对应功能仍然显示开通成功；后续重新返回页面，会回复为【立即开启】，但是点击无响应；应该弹窗提示，然后跳转到系统授权页面；
拒绝授权后，应该仍然显示立即开启，显示弹窗，告知用户去开通对应的权限；",,最重要,验证通过,之前没有设计对应的跳转功能和弹窗UI、,,,,,,,
,,少东,创彬,2020年7月8日,Android,逻辑错误,首次安装APP后，首先展示启动页，在启动页跳转到引导页时会闪现加V电话拨号界面，界面切换不流畅，有明显卡顿,,最重要,已修复待验证,,,,,,,,
,,欧龙,嘉佳,2020年7月8日,Android,逻辑错误,三要素校验失败弹窗右上角不需要添加失败原因；仅在活体检测失败后显示；,,最重要,已修复待验证,,,,,,,,
,,欧龙,嘉佳,2020年7月8日,Android,逻辑错误,点击失败原因说明后，跳转至失败说明页；但是弹窗仍在页面上；应该关闭；,,最重要,已修复待验证,,,,,,,,
,,欧龙,创彬,2020年7月8日,Android,功能缺失,原需求，使用SIM快捷登陆，若超时20s无响应，需自动跳转短验，并且暂停调用SIM快捷登陆；,,最重要,已修复待验证,,,,,,,,
,,少东,计成,2020年7月8日,Android,逻辑错误,进入5G快签页面，弹出支持SIM盾，选择申请后，1、弹出的界面上手机号码非登录手机号码2、登录手机号码已经申请开通过SIM盾，不应该再次弹出申请框,,最重要,已修复待验证,,,,,,,,
,,少东,嘉佳,2020年7月8日,Android,逻辑错误,进入5G快签页面个人信息界面，开启和关闭短信通知后，下方会有toast提示“超级号：已关闭”或“超级号：已开启”，期望结果：不出现toast提示,,最重要,验证通过,,,,,,,,
,,欧龙,连子,2020年7月8日,Android,功能缺失,输入www.baidu.com发送短信，无法正常打开；需要输入完整的https://www.baidu.com；,,最重要,已修复待验证,待打包,,,,,,,
,,少东,,2020年7月8日,Android,功能缺失,5G快签发起签署，添加个人签署方时，输入手机号码后，若用户已实名，展示了用户的全部姓名。期望结果：为防止泄露用户隐私，前端应隐藏一位用户姓名，如欧*，黄*丽，欧阳*天；如果是从通讯录导入的联系人则不必隐藏一位姓名,,最重要,待修复,由于APP需要在签署时将完整姓名传到后台，不能直接脱敏。后续需要改造查询接口和请求接口，改动较大暂不处理，该需求并未加入7月8日排期,,,,,,,
,,少东,作伍,2020年7月8日,Android,逻辑错误,5G快签签署进行人脸识别时，提示人脸过小，人脸识别完成后，弹出短信验证码输入框，输入验证码后，点击确定没有反应，随后提示签署失败,,最重要,已修复待验证,,,,,,,,
,,欧龙,作伍,2020年7月8日,Android,界面优化,"机型：redmi k20 pro
通信安全管理页面顶部被系统通知栏挡住；还有里面全部页面都会这样；",,最重要,已修复待验证,,,,,,,,
,,丹丽,梓杰,2020年7月8日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1","现状：本地消息管理，从消息列表进入任意消息，消息界面都会出现滚屏
期望：默认显示最新消息那屏，不出现自动滚屏情况",最重要,已修复待验证,,,,,,,,
,,丹丽,梓杰,2020年7月8日,Android,界面优化,"终端类型：坚果 Pro 2
系统版本：Android7.1.1","现状：消息管理界面列表页字体和>的UI效果跟APP整体，不符合预期
期望：UI出优化方案，研发配合优化，APP整体风格保持一致",最重要,已修复待验证,,,,,,,,
,,丹丽,梓杰,2020年7月8日,Android,界面优化,"终端类型：坚果 Pro 2
系统版本：Android7.1.1","消息管理各个入口-编辑状态下，操作栏的ICON没有更新，期望更新
",最重要,已修复待验证,,,,,,,,
,,少东,,2020年7月8日,Android,功能缺失,5G快签添加个人和企业签署方时在账号输入框中缺少一键删除按钮，点击后可以一键删除已经输入的手机号码和用户名,,一般,待修复,这个属于新需求,,,,,,,
,,少东,创彬,2020年7月8日,Android,功能缺失,13416461873通过超级号拨打加V电话给19802021300，电话拨打成功，闪信发送成功，未接通电话，但在拨打记录中没有显示拨出的是加V电话，也没有显示发送的名片内容,,最重要,已修复待验证,,,,,,,,
,,欧龙,作伍,2020年7月8日,Android,界面优化,通信安全，未标记的应该不是使用该样式；若为陌生电话且不是骚扰电话，则仅显示号码+来电位置；使用蓝色背景样式；,,最重要,已修复待验证,,,,,,,,
,,少东,创彬,2020年7月8日,Android,功能缺失,19802021300通过超级号APP拨打实名加V电话给13416461873，可收到闪信，但在134的客户端不显示发送的名片内容，仅显示未接来电,,最重要,已修复待验证,,,,,,,,
,,少东,连子,2020年7月8日,Android,逻辑错误,5G快签在文件列表中进行搜索时，输入内容，没有点击搜索按钮就开始搜索，且多次搜索后，输入内容自动搜索会搜索到上次输入的内容，无法正常搜索,,最重要,验证通过,,,,,,,,
,,欧龙,梓杰,2020年7月8日,Android,功能缺失,消息管理-快显消息-我的发送记录：点击头像图片，无法点进去；,,一般,已修复待验证,,,,,,,,
,,欧龙,梓杰,2020年7月8日,Android,逻辑错误,发送短信（包括快显、普通）输入收件人的时候，没有模糊查询（姓名+号码）；比如黄豆粒19802021111，我输入19802021，不会查询出黄豆粒出来。,,最重要,已修复待验证,,,,,,,,
,,丹丽,连子,2020/7/8,Android,逻辑错误,消息管理-链接识别有误，会把普通输入的英文字符串也识别为链接,,最重要,已修复待验证,,,,,,,,
,,丹丽,连子,2020/7/8,Android,逻辑错误,消息管理-快显消息，从通讯录中选择多个联系人后，收件人输入框仅显示部分，无法全部显示,,最重要,已修复待验证,,,,,,,,
,,丹丽,梓杰,2020/7/8,Android,逻辑错误,断开网络情况下，发送快显消息——点击【取消】二次认证，崩溃,,最重要,已修复待验证,,,,,,,,
,,少东,作伍,2020/7/8,Android,逻辑错误,5G快签签署时，人脸识别通过后仍会发送短信验证码，期望结果：人脸识别通过后，不发送短信验证码,,最重要,已修复待验证,实际上是人脸识别失败 现已加入识别信息提示,,,,,,,
,,欧龙,作伍,2020年7月8日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
通信安全无法正常授权",,最重要,待修复,机型适配，这台坚果手机无法正常调起系统的悬浮窗功能，改动较大8号版本上线后再修复,,,,,,,
