FALSE,编号,测试人员,维修人员,日期,修复时间,系统,BUG标签,问题描述,补充信息,优先级,修复状态,备注,版本号,解决情况,,,,,,
TRUE,,少东,王创彬,4月20日,,Android,逻辑错误,安装APP后获取联系人权限，进入加V电话-联系人界面会再次提示获取联系人权限，授权后APP闪退,"小米手机MI MAX 2 
Android 7.1.1
华为nova5pro 安卓10",最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.22
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,叶计成,4月20日,,Android,功能缺失,在名片界面，点击创建名片，在弹出框中点击去认证，无法跳转到实名认证界面,"小米手机MI MAX 2 
Android 7.1.1
华为nova5pro 安卓10",最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.22
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,吴嘉佳,4月20日,,Android,功能缺失,"我的-实名认证中输入姓名和身份证号码点击下一步，显示请求发送中，等待超过10S后，显示身份认证失败，请重新校验
期望结果：1、等待时间不应超过5S，2、实名认证可以正常进行","小米手机MI MAX 2 
Android 7.1.1
华为nova5pro 安卓10",最重要,产品确认,"待验证   
等待时间过长是因为要上传人脸识别图片，跟网络有关",Android 2.0.0,,,,,,,
FALSE,,少东,王创彬,4月20日,,Android,界面优化,拨号键盘按键时有明显粘滞感，按键输入不流畅,"小米手机MI MAX 2 
Android 7.1.1",一般,待修复,重新改,Android 2.0.0,,,,,,,
TRUE,,少东,王创彬,4月20日,,Android,功能缺失,拨号键盘输入号码后拨打普通电话，呼出后本机没有进入系统拨号界面，无法挂断电话,"小米手机MI MAX 2 
Android 7.1.1",最重要,产品确认,重新改,Android 2.0.0,"测试时间：2020.04.23 9:19
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,王创彬,4月20日,,Android,逻辑错误,"打开加V电话开关，尚未进行实名认证，输入号码后点击加V电话拨号按钮直接跳转到实名认证界面
期望结果：未选择名片时，点击加V拨号按钮应提示“拨打加V电话前请先选择一张名片”","小米手机MI MAX 2 
Android 7.1.1",最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.23 11：04
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,吴嘉佳,4月20日,,Android,功能缺失,通过拨号界面-号码详情进入号码详细信息界面，点击新建联系人，进入后新建联系人无法保存。点击完成后标题有新增联系人变为修改联系人，逻辑错误。,"小米手机MI MAX 2 
Android 7.1.1",最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.22
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,吴嘉佳,4月20日,,Android,功能缺失,"实名认证在人脸验证环节验证3-4次后才通过验证，验证未通过没有提示直接返回了人脸验证界面
期望结果：人脸验证若未通过则应给出对应提示","小米手机MI MAX 2 
Android 7.1.1",一般,产品确认,,Android 2.0.0,"测试时间：2020.04.22
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,叶计成/柯晓程,4月20日,,Android,逻辑错误,实名认证通过后，进入名片页面，显示有六张默认名片，且名片编号混乱71-76,"小米手机MI MAX 2 
Android 7.1.1",最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.22
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,叶计成,4月20日,,Android,逻辑错误,创建新的个人名片时，显示您还可以输入45个字符，逻辑错误。总字符数为69，系统默认字符为“杨少东的手机正在给您打来实名加V电话，敬请接听。【个性签名：】”共31个字符，则剩余可输入字符为38,,最重要,产品确认,已修改，待验证,,"测试时间：2020.04.22
测试验证已修复，待产品确认",,,,,,
